name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,
15 Ronaldinho CAM ST,34,78,78,"Querétaro
2014 ~ 2016",28130,"182cm / 6'0""",76kg / 168lbs,Right,77,CAM,0,€4.1M,€45K,€0,367,84,69,50,82,82,430,86,86,87,81,90,313,50,48,73,70,72,314,74,55,41,72,72,319,60,25,66,82,86,0,78,25,28,25,54,7,14,13,6,14,1875,377,3,49,72,83,84,28,
O. Hutchinson RM CAM,19,65,81,"Ipswich Town
2022 ~ 2025",260145,"174cm / 5'9""",65kg / 143lbs,Left,67,CAM,16,€1.8M,€3K,€4.5M,266,48,53,49,66,50,304,69,52,50,65,68,366,76,69,81,61,79,272,62,56,63,47,44,264,41,37,60,65,61,63,140,40,49,51,39,10,7,9,5,8,1651,351,1,72,54,61,70,44,
Brahim CAM,23,82,86,"Real Madrid
2019 ~ 2027",231410,"170cm / 5'7""",68kg / 150lbs,Right,84,CAM,4,€43.5M,€145K,€92.4M,328,75,76,30,83,64,379,84,74,61,75,85,429,85,85,89,79,91,332,73,60,68,55,76,294,44,33,78,81,58,79,84,40,23,21,51,13,9,13,10,6,1897,409,1,85,74,78,85,31,
K. Wätjen CM,17,62,80,"Borussia Dortmund
2024 ~ 2028",70728,"178cm / 5'10""",72kg / 159lbs,Right,65,CAM,18,€1M,€900,€2.3M,257,48,53,45,67,44,292,66,52,43,65,66,356,77,68,78,59,74,267,48,58,63,51,47,263,47,54,54,59,49,49,161,50,55,56,48,9,13,7,11,8,1644,353,1,72,50,59,66,52,
A. Güler CAM RM,18,77,88,"Real Madrid
2023 ~ 2029",264309,"175cm / 5'9""",70kg / 154lbs,Left,79,CAM,11,€22M,€41K,€49.5M,340,80,68,41,81,70,403,83,84,76,79,81,380,75,69,82,69,85,308,72,50,70,43,73,316,42,55,68,80,71,77,155,52,57,46,58,13,10,11,14,10,1960,405,1,72,70,80,81,52,
C. Chaplin CAM,26,74,75,"Ipswich Town
2021 ~ 2026",225667,"168cm / 5'6""",69kg / 152lbs,Left,75,ST,1,€5M,€19K,€9.9M,358,63,79,73,73,70,352,72,72,68,65,75,417,81,83,89,73,91,346,72,75,74,50,75,322,70,40,74,72,66,73,131,50,38,43,65,13,16,10,14,12,1991,409,1,82,75,69,76,46,
Y. Moukoko ST,18,77,87,"Borussia Dortmund
2020 ~ 2026",240833,"179cm / 5'10""",72kg / 159lbs,Left,79,ST,10,€22.5M,€18K,€42.8M,343,47,79,69,71,77,318,79,68,42,48,81,409,82,79,85,77,86,360,78,79,68,68,67,281,52,32,78,59,60,75,86,30,31,25,60,13,13,11,10,13,1857,393,2,80,75,59,80,34,
K. Havertz CAM CM ST,24,82,87,"Arsenal
2023 ~ 2028",235790,"193cm / 6'4""",82kg / 181lbs,Left,85,CAM,5,€46M,€110K,€88.6M,404,74,83,83,84,80,385,84,84,53,79,85,382,75,81,75,83,68,385,76,84,77,70,78,347,56,43,84,81,83,84,133,45,47,41,47,6,8,11,10,12,2083,440,3,78,81,79,83,49,
J. Bellingham CAM CM,20,88,92,"Real Madrid
2023 ~ 2029",252371,"186cm / 6'1""",75kg / 165lbs,Right,90,CAM,4,€128.5M,€230K,€273.1M,385,66,87,69,89,74,391,88,73,56,87,87,411,81,80,82,89,79,408,79,81,93,75,80,406,85,82,88,87,64,85,233,77,79,77,48,14,11,10,5,8,2282,490,4,80,82,81,87,78,
L. Davis LB LWB,23,74,80,"Ipswich Town
2022 ~ 2025",246685,"182cm / 6'0""",70kg / 154lbs,Left,75,LWB,6,€6M,€15K,€12.6M,296,77,47,62,71,39,364,70,77,72,73,72,378,80,79,74,69,76,333,53,76,85,67,52,316,62,71,65,70,48,70,203,69,69,65,51,13,6,9,10,13,1941,412,1,79,50,73,71,68,
A. Isak ST LW,23,83+1,87+1,"Newcastle United
2022 ~ 2028",233731,"192cm / 6'4""",77kg / 170lbs,Right,85,ST,4,€52.5M,€130K,€103.7M,386,66,86+2,77,78,79,367,87,70,65,59,86,403,82,85,81,82,73,397,82,88,75,76,76,342,58,38,84,79,83,84,98,35,34,29,40,7,6,9,7,11,2033,436,2,84,83,72,85,39,
M. Reus CAM CF,34,82,82,"Borussia Dortmund
2012 ~ 2024",188350,"180cm / 5'11""",71kg / 157lbs,Right,82,CAM,0,€14.5M,€60K,€24.7M,379,82,84,44,85,84,420,85,87,85,77,86,370,68,60,78,83,81,355,82,61,65,66,81,355,51,56,84,83,81,86,165,59,47,59,61,12,12,13,13,11,2105,430,3,64,83,83,84,53,
C. Palmer RM RW CAM,21,79+2,87+3,"Chelsea
2023 ~ 2030",257534,"189cm / 6'2""",74kg / 163lbs,Left,82,CAM,8,€39.5M,€76K,€83M,343,70+2,80+5,48+5,82+1,63+8,376,81+1,77+3,64+7,71,83,377,72+1,77+1,78,80+5,70+6,342,75,62+4,75+9,58+1,72+4,347,57+7,43+3,80+5,82+1,85+5,84+3,144,47-1,52+5,45,51,7,6,10,14,14,1980,420,1,75,77,77,81,48,
J. Bellingham CM CAM ST,17,66,82,"Sunderland
2023 ~ 2028",270964,"191cm / 6'3""",75kg / 165lbs,Right,68,CAM,16,€2.1M,€1K,€5.3M,285,51,56,64,67,47,303,69,55,44,65,70,339,68,72,68,61,70,315,57,70,69,63,56,296,56,64,65,66,45,66,187,61,66,60,59,10,10,13,15,11,1784,383,1,70,56,62,69,63,
L. Stergiou CB,21,70,80,"VfB Stuttgart
Jun 30, 2024 On loan",247360,"180cm / 5'11""",75kg / 165lbs,Right,72,CB,10,€3.3M,€5K,€0,221,36,27,64,66,28,221,38,33,29,65,56,387,84,84,77,70,72,312,49,85,76,77,25,271,69,72,39,52,39,60,210,70,72,68,41,7,8,11,6,9,1663,368,1,84,32,54,52,70,
W. Zaïre-Emery CM CDM,17,80+1,90,"Paris Saint Germain
2022 ~ 2025",270673,"178cm / 5'10""",68kg / 150lbs,Right,82,CM,10,€43.5M,€11K,€89.2M,329,66,66+1,66,82+1,49,357,78+1,64,53,81+1,81+1,395,80,78,74,79+1,84,384,76+1,80,84+1,75,69+1,369,76,78+1,76,80+1,59,77,224,71,80,73,55,14,11,7,8,15,2113,455,1,79,68,76,79,75,
C. Hudson-Odoi LM LW RW,22,76,81,"Nottingham Forest
2023 ~ 2026",240740,"182cm / 6'0""",76kg / 168lbs,Right,77,RM,5,€11.5M,€49K,€22.7M,330,75,70,52,74,59,376,82,76,71,69,78,388,86,74,83,67,78,335,71,70,67,58,69,291,51,44,69,72,55,72,143,47,51,45,58,14,13,11,15,5,1921,407,2,79,69,73,79,48,
V. Gyökeres ST,25,82+1,87+1,"Sporting CP
2023 ~ 2028",241651,"187cm / 6'2""",90kg / 198lbs,Right,84,ST,5,€45M,€22K,€93.4M,371,61,85+1,78,73,74,342,81+1,70,59,52,80+2,403,85+1,88+2,70,79+4,81+4,434,85+4,94-1,93+3,90,72,346,82,28,83,74,79+9,79+6,84,34,34,16,56,10,13,11,14,8,2036,438,1,87,81,67,79,35,
